iteration,pair_id,label,previous_neural_score,violated_constraints,left_title,right_title,left_brand,right_brand,left_price,right_price
1,3766219#53025257,0,0.8690856137505732,"[""model_token_conflict""]","UBIQUITI UniFi Video Camera G3 Bullet, 3 pack (UVC-G3-BULLET-3)",Ubiquiti UVC-G3-Bullet UniFi IP Bullet Camera,Ubiquiti Networks,,390.35,$‎197.95
1,22109936#19949293,0,0.8688788094548989,"[""quantity_conflict""]",Western Digital Blue SSD 250GB SATA M.2 2280 WDS250G2B0B,SSD Western Digital Blue 2TB M.2 2280 TLC SATA SSD,Western Digital,,220.50,206.99
1,96113297#91729567,0,0.8683206343315422,"[""model_token_conflict""]",D'Addario EXL165 Nickel Wound Custom Light Bass Guitar Strings 45-105 Long Scale,D'Addario XL Nickel Wound Bass Strings EXL160,,,26.99,29.99
1,88773659#90493626,0,0.8636339152060679,"[""model_token_conflict""]",Fuji Fuji Instax Square Film 1-Pack,Fujifilm Instax Square Instant Film - 20 Photos,Fuji,,16.99,21.99
1,84031127#21104542,0,0.8626417717645836,"[""model_token_conflict""]",Corsair Crystal 570X RGB Mid Tower ATX Case White TG CC-9011110-WW | PCByte,"Corsair Crystal iCUE 465X RGB White Steel, Plastic, Tempered Glass ATX Mid Tower Computer Case - White | CC-9011189-WW",Corsair,,289.0,525.00
1,57337098#44685515,0,0.8621384954370392,"[""model_token_conflict""]",LOGITECH Logitech USB Headset H390,Logitech USB Headset Stereo H650e,,Logitech,90.90,679
1,30875366#27072079,0,0.8564743641538201,"[""model_token_conflict""]","Corsair ML140 Pro LED, Red, 140mm Premium Magnetic Levitation Fan | Discount Computer Needs",Corsair ML120 Pro LED Red 120mm Magnetic Levitation Fan | Discount Computer Needs,,,75.00,58.00
1,78660792#16543090,0,0.8558436041426155,"[""model_token_conflict""]",Samsung CLT-K406S Black Toner Cartridge (Compatible),Samsung MLT-D103L Black Toner Cartridge (Compatible),,,34.42,36.38
1,77102241#63806822,0,0.8501519503356474,"[""model_token_conflict""]",Shimano PD-R550 SPD-SL Pedalset black,Shimano PD-RS500 SPD-SL,,Shimano,58.98,60.00
1,45880639#46556537,0,0.84543326867902,"[""model_token_conflict""]",TP-Link Omada AC1200 Wireless Dual Band Gigabit Outdoor Access Point,TP-Link EAP225-Outdoor - Wireless access point - Wi-Fi - Dual Band,TP-Link,TP-LINK,144,
2,34072942#65129957,0,0.8136149467756327,"[""quantity_conflict""]",LaCie Rugged Thunderbolt USB-C 4TB,LaCie Rugged Thunderbolt USB-C 2TB,,,,
3,34072942#65129957,0,0.8525856275265257,"[""quantity_conflict""]",LaCie Rugged Thunderbolt USB-C 4TB,LaCie Rugged Thunderbolt USB-C 2TB,,,,
3,66625804#29923231,0,0.7029641603848477,"[""model_token_conflict""]",Samsung T7 Touch Black 1TB Portable SSD with Fingerprint ID,Samsung T7 Touch Silver 1TB Portable SSD with Fingerprint ID,Samsung,Samsung,217.10,212.51
