split,error_type,pair_id,label,neural_score,neural_pred,left_title,right_title,left_brand,right_brand,left_price,right_price,title_similarity
test,false_positive,85035598#37728852,0,0.9788487709476243,1,Fisher & Paykel WH8060J3 8kg Front Load Washing Machine,Fisher & Paykel 10kg Front Load Washing Machine,Fisher & Paykel,,799,1298,0.9438202247191012
test,false_positive,88943801#6189668,0,0.9788188110952429,1,iPhone 6s Screen - New / Fix Kit / Black / Neu / New / Fix Kit / White / Neu / New / Part Only / Black / Neu / New / Part Only / White / Neu,iPhone XR Screen - Fix Kit / New / Part Only / New,,,59.99,109.99,0.9629629629629629
valid,false_positive,17212553#62172007,0,0.9787983226264116,1,Corsair ML Series ML120 PRO LED Premium Magnetic Levitation,Corsair ML Series ML140 PRO LED Premium Magnetic Levitation,Corsair,Corsair,265,284,0.9830508474576272
test,false_positive,88943801#35452020,0,0.978427161753343,1,iPhone 6s Screen - New / Fix Kit / Black / Neu / New / Fix Kit / White / Neu / New / Part Only / Black / Neu / New / Part Only / White / Neu,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,59.99,44.99,0.8627450980392157
test,false_positive,56698149#65979382,0,0.9779066213078014,1,Epson Ultra Glossy Photo Paper,Epson Premium Glossy Photo A4 Paper (Pack of 50) C13S041624,Epson,,2150,36.11,0.8888888888888888
test,false_positive,25351062#35452020,0,0.9775258592308296,1,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,39.99,44.99,0.854368932038835
test,false_positive,35452020#45858702,0,0.9767914712158435,1,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,,,44.99,39.99,0.8461538461538461
test,false_positive,75325202#25351062,0,0.9760138941464076,1,iPhone SE Screen - Fix Kit / Black / 全新 / Fix Kit / White / 全新 / Part Only / Black / 全新 / Part Only / White / 全新,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,44.99,39.99,0.94
test,false_positive,56774153#60071236,0,0.975879648478435,1,"Card Art Card Baby romper, Dutch Doobadoo 470.713.595",Dutch Doobadoo Card Art 3733 Snowdome,,,2.75,3.15,0.7666666666666667
valid,false_positive,79599413#55369895,0,0.975729759010974,1,"EPSON Multipack fr EPSON Stylus Photo R200 / R300 Inhalt: je 1x light cyan, cyan, light magenta, magenta, gelb, schwarz (neu: C13T04874010 / alt: C13T048140A0) R220 / R320 / R340 / RX500 / RX600 / RX620 / RX640",Epson STYLUS PHOTO R3000 BLACK INK,EPSON,,99.41,24.81,0.1576354679802955
test,false_positive,35452020#76350435,0,0.9755459278505572,1,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,44.99,59.99,0.854368932038835
train,false_positive,98586705#25435848,0,0.975336973970805,1,Apple 60W MagSafe 2 Power Adapter Macbook 60w Magsafe2 Power Adapter,APPLE APPLE 60W MAGSAFE POWER ADAPTER,,APPLE,79.0000,1049.00,0.2823529411764706
valid,false_positive,76444235#81158427,0,0.9753039815511525,1,"HDD: 8 Tb (3.5\"") 7200 Seagate IronWolf Pro SATA III 256Mb (ST8000NE001)","HDD: 16 Tb (3.5\"") 7200 Seagate IronWolf Pro SATA III 256Mb",Seagate,Seagate,,,0.9739130434782609
train,false_negative,30642803#60611010,1,0.029214474410930814,0,Light Light Black T596900 UltraChrome HDR 350 ml,Epson GF Stylus Photo 7900/9900 Cartucho Gris Claro,,,"577,97 zł netto",156.71073,0.27956989247311825
valid,false_negative,90381969#66536513,1,0.036119082033977526,0,Canon EF-S 18-200mm f3.5-5.6 IS Lens,Ilford FP4 125 Film 120,,Ilford,699.99,7.99,0.30508474576271183
test,false_negative,25890087#2202474,1,0.047799346990588985,0,Canon EOS RP Mirrorless Digital Camera with 24-240mm Lens,Shimano Di2 EW-SD50 E-Tube Wire (500mm),CANON,Shimano,0.0,25.99,0.3125
test,false_negative,42244827#46966734,1,0.05125838963825769,0,CCW-5C Crank Bolt Bike Wrench,Park Tool CCW-5 Kurbelschraubenschlüssel,,Park Tool,1.195E1,12.99,0.34782608695652173
train,false_negative,67977820#44240169,1,0.058533838488600935,0,Canon CLI251XL High Yield Black Inkjet Cartridge Remanufactured,Canon CNM6448B001-6448B001 CLI-251XL ChromaLife100 High-Yield Ink,,Canon,6.95,19.99,0.453125
train,false_negative,86779035#3719213,1,0.06055141088459254,0,Ilford FP4+ 125 B&W 120 Film,Canon EF-S 18-200mm f/3.5-5.6 IS Lens,,Canon,5.99,,0.27692307692307694
train,false_negative,13891853#94260392,1,0.06592517035847895,0,Originali CANON Pg-40 + Cl-41 Pixma IP1200 IP1600 IP2200 IP1700 IP1900 IP1300,Original Ink Cartridge (pack of 2) Canon PG-40/CL41 Tricolour Black,,,48.4,5.92E1,0.3194444444444444
train,false_negative,19193587#34370737,1,0.06826136245342948,0,Cisco WS-C2960-48TT-L 48-Port Managed Ethernet Switch,Catalyst 2960 48 10/100 Ports + 2 1000BT LAN Base Image,,CISCO,25.00,€ 5313.02,0.24074074074074076
train,false_negative,74177033#22846600,1,0.06909073236613686,0,"SanDisk Ultra SDDD3-256G-G46 256 GB Pen Drives (Black, Silver)",SanDisk Ultra Dual Drive m3.0 256GB Grey & Silver,,SANDISK,4224.4,280.14,0.6126126126126126
train,false_negative,23819108#62941900,1,0.10704464558277738,0,Tag Heuer - F1 Chronograph Quartz on Rubber Strap,Formula 1 Musta/Kumi Ø43 mm ref. CAZ1010.FT8024,Tag Heuer,,1095.00,1139,0.27083333333333326
train,false_negative,36439966#15478999,1,0.11079820851121679,0,"Samsung 860 PRO SSD - Zwart, Rood","Samsung MZ-76P1T0 2.5\"" 1000 GB Serial ATA III V-NAND MLC",,,2.8556E2,339.99,0.35
test,false_negative,1875778#95428009,1,0.11612411490978715,0,"SunRace MFE60 Srew-On Cassette 8-speed, chrom",kolečko 8 13-32z SunRace index pro e-bike,SunRace,,29.99,574.00,0.4186046511627907
test,false_negative,15251180#2936385,1,0.1184035130232575,0,Kingston 16GB PC4-21300 288-pin DDR4 SDRAM UDIMM,"16GB HyperX Predator DDR4 2666MHz, CL13, Black, DIMM Memory",,,225.37,74.17,0.3925233644859813
valid,false_negative,12097009#37728130,1,0.11869334434271794,0,PowerLink Gold Chain Connector 9-speed,"SRAM Power Lock Silver 9 Speed, 4Pcs",,SRAM,4.99,1190.0,0.32432432432432434
train,false_negative,3719213#40039860,1,0.11925705041894734,0,Canon EF-S 18-200mm f/3.5-5.6 IS Lens,"3 X Ilford FP4 Plus, Black and White Print Film, 120 (6 cm), ISO 125 (1678169)",Canon,,,9.0E0,0.26086956521739124
valid,false_negative,85522935#35335928,1,0.12021919469287151,0,TP-Link TL-WA850RE biely (TL-WA850RE),TP-Link 300Mbps Wireless Range Extender,,TP-Link,22.90,16.95,0.4210526315789474
test,false_negative,39820474#57886904,1,0.12509024916250447,0,Transcend SSD230 256GB best price,Ssd 230s 2.5in Sata 6gb/s 256gb,,,3.315E1,43.475188,0.375
train,false_negative,94445678#94260392,1,0.13212014413579817,0,Canon PG-40 / CL-41 Multi pack,Original Ink Cartridge (pack of 2) Canon PG-40/CL41 Tricolour Black,,,31.46,5.92E1,0.3917525773195877
train,false_negative,51583866#29412990,1,0.13686092486039755,0,LaCie 4TB USBC USB 3.0 Aluminum enclosure MoonSilver,LaCie Mobile Drive USB-C Moon Silver 4To disque dur,,,2550.00,142.90,0.5825242718446603
test,false_negative,83260638#40639947,1,0.13803320858257248,0,9000 Series 8kg Heat Pump Dryer,AEG 8kg Front Load Dryer,,,2599.00,2799,0.5454545454545454
train,false_negative,79825671#53034540,1,0.13812994100277634,0,Toner Original Canon Amarelo (2659B002AA),Originlny toner CANON CRG-718 Y (lt),,Znaka: Originlne,114.47,95.9,0.4935064935064935
valid,false_negative,47959304#96565508,1,0.1443682391569724,0,Epson C13T865140 WF-51xx/56xx Cartridge XXL Mono,"Original Tinte Epson T8651, ca. 10.000 S., schwarz",,Epson,549,94.46,0.3469387755102041
valid,false_negative,52075948#36782025,1,0.1457967813162521,0,INK JET ORIGINALE NERO PER EPSON C13T70314010 - WP-4515DN / WP-4525DNF / WP-4535DWF / WP-4545DTWF / WP-4015DN,Epson Black Inkjet Cartridge. For use in WP4000/4500 machines. Page Yield - up to 1200 pages. OEM Ref - T703140. (Big Ben) EP49005,,Epson,,28.68,0.25108225108225113
train,false_negative,79475473#51670079,1,0.1485559561158354,0,TURBO HD DVRDS-7216HQHI-K1 1080P,Hikvision 16CH Turbo Full HD1080P DVR,,,610000,450,0.318840579710145
valid,false_negative,66291779#22886486,1,0.15554012660266012,0,Switch 8 puertos 10 100 1000,Switch TL-SG1008 8 porturi,,Tp-link,"51,73€",152.99 Lei;,0.5925925925925926
test,false_negative,83052078#57297547,1,0.15662240967927563,0,Ray-Ban Sunglass - Round Style Light Havana Tortoise frame with Gradient Brown Lens - RB4184 710/83,Ray Ban N/a 4184 Sunglasses,,,8.999E1,179.0,0.3548387096774194
train,false_negative,9293181#21625512,1,0.16153852583134543,0,"Netgear 52p GS748T-500EUS (48x10/100/1000Mbit 2xSFP,Combo)",48-Port Gigabit Smart Switch,,,1129,,0.25581395348837205
test,false_negative,93784937#40002118,1,0.16460230290388198,0,"25 Rounds of 12ga 2-3/4\"" Ammo by Winchester AA Lite Handicap - 1 ounce #7 1/2 shot","Winchester AA Super Handicap 12 Gauge 2 3/4"" 1Oz #7.5 Ammunition AAHLA127",,,10.5,12.09,0.641025641025641
train,false_negative,40397686#21576898,1,0.16769820937016722,0,MVK500AM Tripod with fluid video head Lightweight with Side Lock,Manfrotto Stativ Video Set MVH500A + MVT502AM + Tasche,,Manfrotto,349.00,456.23,0.3783783783783784
valid,false_negative,29301320#91421555,1,0.17078660327203796,0,FLUID VIDEO SYSTEM MVH500A HEAD WITH MVT502AM TRIPOD,Manfrotto MVK500AM Tripod Kit Alum Twin Leg,,,9.789995999999999E2,661.1,0.31578947368421056
train,false_negative,95198922#91626577,1,0.1723762065484354,0,Daddario Regular Gauge Long Scale Bass,"D'Addario EXL160 Nickel Wound Bass Medium, 50-105",,,19.99,19.99,0.45977011494252873
valid,false_negative,13760497#98077329,1,0.17595551554511868,0,WD RED 2.5 1TB SATA3 NAS (MB),Western Digital Red 1TB 16MB SATA III (WD10JFCX),,Western Digital,"118,89 €",,0.4675324675324676
valid,false_negative,62832612#20999528,1,0.17608203090086993,0,Formula 1 Svart/Gummi Ø43 mm ref. CAZ1010.FT8024,TAG Heuer Formula 1 Men's Black Rubber Strap Watch,,,11495,1150,0.3265306122448979
train,false_negative,48509935#20910428,1,0.17668816011479074,0,Shimano MT800 Hollowtech II Bottom Bracket,Butuc pedalier Shimano Deore XT BB-MT800,,,,100.00,0.4146341463414634
test,false_negative,19743674#76478929,1,0.18160079648849162,0,Pacsafe - Venturesafe X12 Backpack - Daypack - Black | 12 l,"Venturesafe X12 Rucksack 13″ Polyester, Nylon schwarz",,Pacsafe,6.967E1,76.65,0.5185185185185186
test,false_negative,19121174#20353680,1,0.18248637131082743,0,Genuine Brother LC223VALBP Ink Cartridge Multipack,Brother Value Pack (Lc-223 Bk/C/M/Y),,,66.01,6.12E1,0.3953488372093023
valid,false_negative,37590384#28161805,1,0.1828258445277127,0,Genuine Epson C13T636800 Matte Black High Capacity Ink Cartridge (T6368MBKHOEM),Epson Blekk Matt Svart Ultrachrome HDR - PRO 7900,Epson,Epson,275.99,3195,0.328125
valid,false_negative,76514695#84262325,1,0.18536283923825592,0,Originln toner CANON CRG-707 C (Azurov),CANON 707 (LBP-5000) Cyan,Znaka: Originln,,2099,,0.4375
train,false_negative,22106476#51583866,1,0.1856942791304367,0,LaCie Mobile Drive STHG4000400 - hard drive - 4 TB - USB 3.1 Gen 2,LaCie 4TB USBC USB 3.0 Aluminum enclosure MoonSilver,,,134.99,2550.00,0.5087719298245613
train,false_negative,80394711#26140067,1,0.18931922128178932,0,"Corsair Vengeance 16GB RAM 2 X 8GB, DDR4, 3200MHz 16GB 2 x 288 DIMM, Unbuffered, 16-18-18-36, LPX Black Heat spreader, 1.35V",Corsair 2x8GB DDR4 3200MHz CL16 Vengeance LPX RAM (CMK16GX4M2B3200C16) (Limited Lifetime with Local Distributor Convergent),,,1.4899E2,115.00,0.5166666666666666
train,false_negative,46774987#39801058,1,0.19134082227290652,0,Logitech B100 Optical USB Mouse (Black),Wired Mouse Desktop 3-Button Black,,,5.47E0,11.79,0.410958904109589
test,false_negative,29107458#58547777,1,0.1963898190114357,0,AEG 8kg Heat Pump Dryer with AbsoluteCare System,AEG 8kg Front Load Dyer,,,1599,2099,0.4666666666666666
test,false_negative,24936536#2174287,1,0.20206807579800454,0,EPSON ink čer Singlepack UltraChrome XD2 Black T40C140(50ml),Epson T40C1 Patron Bk 50ml (Eredeti),Epson,,49,19966,0.27083333333333326
valid,false_negative,3789182#32182477,1,0.20251829545383418,0,Originlny toner XEROX 106R01634 (ierny),Xerox Phaser 6000/ 6010 Black print cartridge,Znaka: Originlne,,66.9,162.00,0.2857142857142857
valid,false_negative,17212553#48406238,1,0.2061119499534668,0,Corsair ML Series ML120 PRO LED Premium Magnetic Levitation,Cooler Master Corsair ML120 PRO LED Red 120mm Fan CO-9050042-WW,Corsair,Cooler Master,265,44.99,0.525
train,false_negative,73834318#54722600,1,0.2123356130975841,0,Canon PGI29 Light Grey Lucia Ink,Tinteiro Original Canon PGI-29 Cinzento Claro (4872B001),,,24.52,27.37,0.4318181818181818
test,false_negative,26995615#71622657,1,0.21266902390687742,0,Uni Posca Marker PC-5M 1.8-2.5MM Ivory,Posca Paint Markers - Medium Bullet,,,19.81,5.36,0.5205479452054794
valid,false_negative,69951577#11601332,1,0.21288460784516725,0,Originlny toner Brother TN-135 lt,Brother TN-135Y Laserkasetti yellow,Znaka: Originlne,,150.9,"138,71 €",0.5882352941176471
test,false_negative,603915#45998287,1,0.21311843097708053,0,"55"" Class TU7000 Crystal UHD 4K Smart TV (2020)",55 IN FLAT LED 4K TV,,,438.96,699.99,0.4
test,false_negative,35983151#1690889,1,0.21336310694474145,0,"Galaxy A51 Dual SIM (4/128GB, schwarz) - EU Modell",Smartphone Samsung Galaxy A51 4GB 128GB Preto,,,315.00,265.82,0.5052631578947369
valid,true_positive,35589885#96929485,1,1.0,1,"APC Smart-UPS RT - USV - 19\""-Rack montierbar - 230 V",BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,,APC,12351.33,205000000,0.32183908045977005
valid,true_positive,58786972#46197341,1,0.9982281441825804,1,Razer Ornata Chroma Gaming Keyboard,"Tastatura Razer Ornata Chroma â€“ Multi-color Membrane Gaming Keyboard - US Layout, Wired USB Connection, Razer Mecha-Membrane Technology, Mid-height keycaps, Razer Chroma backlighting, Ergonomic wris",,,199.95,851.82,1.0
test,true_positive,196253#6175893,1,0.9981620572663653,1,Tissot Le Locle T006.207.11.038.00,Đồng hồ Tissot T006.207.11.038.00,,,423.00,18140000,0.8620689655172414
valid,true_positive,29732271#89895212,1,0.9975414935731608,1,"Cooler Master Hyper H411R CPU Cooler with 92mm White LED PWM Fan, 4 Heat Pipes / Direct Contact / Aluminum Fins Intel: LGA 2066 / 2011-3 / 2011/1200/ 1151 /1150 /1155 /1156 / 1366 / 775, AMD AM4 / AM3+ / AM3 / AM2+ / AM2 / FM2+ / FM2 / FM1",Cooler Master CPU Cooler Hyper H411R,,,45,79,1.0
test,true_positive,55154351#51848095,1,0.9964832420073576,1,TISSOT EVERYTIME MEDIUM T109.410.11.033.00 (T109.410.11.033.00),Tissot T109.410.11.033.00,,,260.00,20390,0.8372093023255814
valid,true_positive,36012861#40412085,1,0.995381080896421,1,Tissot Tradition T063.617.16.057.00,Tissot T-Classic T063.617.16.057.00 Tradition Chrono Black 42mm,,,365.55,10250000,1.0
train,true_positive,56736608#95961137,1,0.9937040990659327,1,Atomos Coiled Full HDMI to Full HDMI Cable (30cm) - ATOMCAB010,Atomos ATOMCAB010 Coiled Full HDMI to Full HDMI Cable,Atomos,,29.00,22.96,1.0
valid,true_positive,6666822#46096282,1,0.9935380320111086,1,Corsair K55 RGB Gaming Keyboard,CORSAIR K55 RGB Gaming Keyboard - Quiet & Satisfying LED Backlit Keys - Media Controls - Wrist Rest Included – Onboard Macro Recording | CH-9206015-NA,,,3850.00,308.00,0.8518518518518519
test,true_positive,84686125#35452020,1,0.9933531291138861,1,"iPhone 7 Plus Lightning Connector Assembly, New, Fix Kit - Grey",iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,69.99,44.99,0.8113207547169812
valid,true_positive,14737778#79816290,1,0.9925773102299625,1,"RAM Double U-Bolt Base with 2.25\"" Ball","RAM-D-235U - RAM Double U-Bolt Base with D Size 2.25\"" Ball for Rails from 0.75\"" to 1.25\"" in Diameter",,RAM Mounts,$64.05,,1.0
test,true_positive,32359565#19898746,1,0.992116274297723,1,SEATTLE MARINERS THE LEAGUE 9FORTY ADJUSTABLE,New Era Curved Brim 9FORTY The League Seattle Mariners MLB Navy Blue Adjustable Cap,,,24.99,24.95,0.296875
